User ID, Item1 ID, Item2 ID
1,8,3
1,5,8
1,8,2
1,5,7
1,9,4
1,7,10
1,5,6
1,1,10
1,7,3
1,9,1
1,5,4
1,5,9
1,5,3
1,10,4
1,5,2
1,1,7
1,1,8
1,9,2
1,8,4
1,6,4
1,9,10
1,6,2
1,6,10
1,3,10
1,9,3
1,2,7
1,8,6
1,8,7
1,6,7
1,5,1
1,3,4
1,3,2
1,1,2
1,1,6
1,1,4
1,9,7
1,1,3
1,7,4
1,6,3
1,9,8
1,2,4
1,2,10
2,3,8
2,5,8
2,2,8
2,7,5
2,4,9
2,10,7
2,6,5
2,10,1
2,10,8
2,7,3
2,1,9
2,4,5
2,9,5
2,3,5
2,10,4
2,5,2
2,7,1
2,10,5
2,1,8
2,9,2
2,4,8
2,6,4
2,10,9
2,6,2
2,10,6
2,10,3
2,9,3
2,7,2
2,6,8
2,6,9
2,7,8
2,6,7
2,1,5
2,4,3
2,2,3
2,2,1
2,6,1
2,1,4
2,7,9
2,1,3
2,7,4
2,6,3
2,9,8
2,4,2
2,10,2
3,8,3
3,8,5
3,8,2
3,7,5
3,4,9
3,10,7
3,6,5
3,10,1
3,10,8
3,7,3
3,9,1
3,4,5
3,9,5
3,3,5
3,10,4
3,2,5
3,7,1
3,10,5
3,8,1
3,2,9
3,8,4
3,4,6
3,10,9
3,2,6
3,10,6
3,10,3
3,3,9
3,7,2
3,8,6
3,6,9
3,7,8
3,7,6
3,1,5
3,4,3
3,2,3
3,2,1
3,6,1
3,4,1
3,7,9
3,3,1
3,7,4
3,3,6
3,8,9
3,2,4
3,10,2
4,8,3
4,5,8
4,8,2
4,5,7
4,9,4
4,10,7
4,6,5
4,10,1
4,10,8
4,7,3
4,9,1
4,5,4
4,9,5
4,5,3
4,10,4
4,5,2
4,1,7
4,5,10
4,1,8
4,9,2
4,8,4
4,6,4
4,9,10
4,6,2
4,6,10
4,10,3
4,9,3
4,7,2
4,6,8
4,9,6
4,8,7
4,6,7
4,5,1
4,3,4
4,2,3
4,1,2
4,6,1
4,1,4
4,9,7
4,1,3
4,7,4
4,6,3
4,9,8
4,2,4
4,10,2
6,8,3
6,5,8
6,8,2
6,5,7
